,id,uri,Track Name,Artist,Acousticness,Daceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time Signature,Liked
299,42cskWMuFydbI9f9um1sTj,spotify:track:42cskWMuFydbI9f9um1sTj,Nordanvind,Malmkvist,0.991,0.265,0.0119,0.946,0.097,-33.766,0.0526,99.932,5,0
300,5Y223UTPJjOIDVS2vs73g0,spotify:track:5Y223UTPJjOIDVS2vs73g0,Sun sinking at dusk,Noemi Lucas,0.995,0.414,0.0257,0.896,0.0869,-28.816,0.0375,103.102,4,0
301,5TRzmeTTbtVrsblB0HTZn7,spotify:track:5TRzmeTTbtVrsblB0HTZn7,Tôt le matin,Alonzo Gautier,0.995,0.495,0.084,0.968,0.102,-24.684,0.0735,69.216,4,0
302,63oFS9JTsvadCXUqwqA7p0,spotify:track:63oFS9JTsvadCXUqwqA7p0,Shizukana,Isshi Matsuriza,0.99,0.47,0.0593,0.934,0.104,-28.563,0.0355,113.418,4,0
303,763DOeT2XIrzMjbC3LLF5i,spotify:track:763DOeT2XIrzMjbC3LLF5i,Lydian Fairytale,Nascondiglio,0.991,0.428,0.0253,0.912,0.117,-29.558,0.0388,70.853,4,0
304,70pC9IQb39VDNUm3Uio5kD,spotify:track:70pC9IQb39VDNUm3Uio5kD,Un sourire et une larme (valse),Tom Kristiaan,0.994,0.441,0.018,0.952,0.116,-27.154,0.0456,107.794,3,0
305,3x16lncPJzr2VDTtVrPpgj,spotify:track:3x16lncPJzr2VDTtVrPpgj,At The End Of The Day,Frederico Morales,0.991,0.481,0.0246,0.955,0.11,-24.192,0.0393,100.305,4,0
306,10qZCmeusg6BbdHDTMADpr,spotify:track:10qZCmeusg6BbdHDTMADpr,Twilights,Mirta da Silva,0.994,0.396,0.0281,0.878,0.103,-30.963,0.0333,100.61,4,0
307,63PdrrV4D4DtKpB4JEKMTJ,spotify:track:63PdrrV4D4DtKpB4JEKMTJ,Je m'amoure de cette sensation,A. Blomqvist,0.972,0.371,0.0698,0.91,0.112,-26.32,0.0444,131.656,5,0
308,7zVpXNJWZTx9VFGsASdvDb,spotify:track:7zVpXNJWZTx9VFGsASdvDb,Liminal ride,Luna Bauer,0.989,0.321,0.0269,0.891,0.105,-27.988,0.0312,90.174,4,0
309,6tw5ZIanXzO4ufu4abt7Vn,spotify:track:6tw5ZIanXzO4ufu4abt7Vn,Berceuse,Sounds from a Box,0.994,0.402,0.0185,0.937,0.106,-30.302,0.0393,67.394,3,0
310,4EIbWNNAT3TqvzflNhGKyU,spotify:track:4EIbWNNAT3TqvzflNhGKyU,Pines and Cedars,Maya Sarfatto,0.994,0.439,0.0237,0.938,0.0969,-30.434,0.0397,113.805,4,0
311,75XNNOrKVTwJ1lEGbE1a8q,spotify:track:75XNNOrKVTwJ1lEGbE1a8q,Ved,Anton Lindholm,0.995,0.259,0.0424,0.892,0.103,-28.504,0.0406,205.672,4,0
312,0vebajCQqWh9EQ5wAYguqo,spotify:track:0vebajCQqWh9EQ5wAYguqo,Benediction,Nadav Amir-Himmel,0.995,0.375,0.0662,0.922,0.131,-26.344,0.0483,117.282,4,0
313,1g3qZv1GGqwMBrXzogTpTx,spotify:track:1g3qZv1GGqwMBrXzogTpTx,fields of forever - sleep rework,Chad Lawson,0.995,0.663,0.0132,0.953,0.0887,-33.243,0.046,120.107,4,0
314,502QNU8kHHhL4rA9ft0Jcl,spotify:track:502QNU8kHHhL4rA9ft0Jcl,Young Ones,Charles Weathersby,0.99,0.454,0.0783,0.949,0.116,-24.746,0.0377,93.185,3,0
315,5Ooy87HjMYRxy5qiRNsilk,spotify:track:5Ooy87HjMYRxy5qiRNsilk,Winterfall,Eric Ville de Soins,0.989,0.39,0.0483,0.922,0.0992,-33.732,0.0294,107.079,4,0
316,7F6hlMdM7OrUw8C1W4pjAC,spotify:track:7F6hlMdM7OrUw8C1W4pjAC,Poesia,Fernando Alegre,0.996,0.641,0.0114,0.964,0.106,-27.475,0.0458,80.989,3,0
317,3iTgM3cDPpZCQ4GL1pP0Ss,spotify:track:3iTgM3cDPpZCQ4GL1pP0Ss,Act Of Reconciling,Herbe Matin,0.992,0.469,0.0029,0.939,0.135,-40.436,0.0525,116.219,4,0
318,2QvgJkZmnXdozvMMgfohJp,spotify:track:2QvgJkZmnXdozvMMgfohJp,Tomorrow,Nate LaFleur,0.967,0.289,0.034,0.884,0.108,-32.438,0.0346,122.271,4,0
319,4dHsrfybYMwR47LWYjLxR5,spotify:track:4dHsrfybYMwR47LWYjLxR5,inverno 1,Sebastián Voyage,0.995,0.355,0.011,0.92,0.0869,-29.906,0.0438,65.235,4,0
320,0tL0JB08d5De5zBko245Y8,spotify:track:0tL0JB08d5De5zBko245Y8,Sommarvals,Christian Peterson-Bergling,0.973,0.352,0.0464,0.879,0.107,-27.631,0.0307,98.943,4,0
321,3hy3BLtI2pYAGZOjNvg8Hy,spotify:track:3hy3BLtI2pYAGZOjNvg8Hy,Nightfall,Michael Lavigne,0.992,0.462,0.0404,0.941,0.103,-23.787,0.038,75.08,4,0
322,244BGt6n916G7NdoOUKSsX,spotify:track:244BGt6n916G7NdoOUKSsX,Take care,Wilson Trouvé,0.992,0.412,0.0451,0.932,0.103,-30.732,0.0419,170.149,3,0
323,48Jivh6jAj87eK6lj3FtUo,spotify:track:48Jivh6jAj87eK6lj3FtUo,Koto - piano room,Hideyuki Hashimoto,0.991,0.445,0.0367,0.944,0.0896,-31.319,0.0433,75.396,3,0
324,5opvuJQY6nSCwA0Wj42yC9,spotify:track:5opvuJQY6nSCwA0Wj42yC9,Untold Stories,Josh Kramer,0.973,0.278,0.0839,0.916,0.106,-26.123,0.0368,133.389,3,0
325,6yFNVbbhoPzPmGCYZWlFcw,spotify:track:6yFNVbbhoPzPmGCYZWlFcw,Days Passing By,Noomi Meerbach,0.993,0.362,0.0317,0.964,0.0994,-24.252,0.0496,81.007,4,0
326,5Nx2GkAaDfh18aZ99OyctW,spotify:track:5Nx2GkAaDfh18aZ99OyctW,Together Again,Cinthya Garcia,0.993,0.364,0.064,0.925,0.0971,-24.643,0.0384,131.662,4,0
327,4EQRrRdoQ8vC4ULe8Kygpw,spotify:track:4EQRrRdoQ8vC4ULe8Kygpw,If You Should Go,Nora Gray,0.996,0.611,0.0126,0.94,0.107,-26.619,0.0671,68.395,4,0
328,5DWI8rBs9a5fyeR35poYYm,spotify:track:5DWI8rBs9a5fyeR35poYYm,Léopoldine,Gaspar Parentau,0.996,0.527,0.0338,0.969,0.184,-26.245,0.0832,67.807,4,0
329,3XQE7ZJGVZTcPcZMZslJk5,spotify:track:3XQE7ZJGVZTcPcZMZslJk5,Periferi,Aeyes Libe,0.994,0.49,0.0207,0.924,0.134,-26.438,0.036,99.583,3,0
330,7ex04ig5hEOizRLHLGlLO7,spotify:track:7ex04ig5hEOizRLHLGlLO7,for you,Holly Jones,0.988,0.328,0.00758,0.937,0.109,-26.281,0.039,92.095,4,0
331,0BZLKyvqypWnn5kfysaNPt,spotify:track:0BZLKyvqypWnn5kfysaNPt,in a room full of you,like gentle rain,0.995,0.446,0.018,0.937,0.0651,-27.431,0.0436,111.725,4,0
332,5TQcYO4moNRTTrtM5Frj30,spotify:track:5TQcYO4moNRTTrtM5Frj30,Handmade,Bodi Lukasz,0.993,0.499,0.033,0.947,0.0946,-28.101,0.0398,94.543,4,0
333,1FxrWXRLIi0aUDlTQNLQZY,spotify:track:1FxrWXRLIi0aUDlTQNLQZY,Mist,Sarah Keen,0.992,0.516,0.0267,0.899,0.0963,-30.229,0.0461,110.636,4,0
334,23yqVbpiJoMHTs0RX4aPE7,spotify:track:23yqVbpiJoMHTs0RX4aPE7,Hand in Hand,Kylian Rebour,0.992,0.616,0.0148,0.964,0.113,-30.179,0.069,89.902,3,0
335,2PPYHVE2EqwC8GASDE5Qzi,spotify:track:2PPYHVE2EqwC8GASDE5Qzi,Monte Viso,Gente di Toscana,0.983,0.464,0.032,0.954,0.109,-28.106,0.056,69.306,4,0
336,2WCeRZDVyagKARVqAxr7QW,spotify:track:2WCeRZDVyagKARVqAxr7QW,Snow Kiss,Freya Rääf,0.983,0.268,0.11,0.918,0.112,-20.651,0.0335,75.745,1,0
337,1fFH5FN5xZx2WT2dBXm4qx,spotify:track:1fFH5FN5xZx2WT2dBXm4qx,Inside 内,Li Zemin,0.975,0.283,0.0329,0.899,0.109,-28.74,0.0341,139.106,3,0
338,3W6h25jvS5vCfUoGuZFx9c,spotify:track:3W6h25jvS5vCfUoGuZFx9c,Moonflowers,Donald Kutcher,0.993,0.269,0.0515,0.944,0.101,-26.372,0.0588,161.705,4,0
339,2HwCcCi8Up9NECNBRt0yTV,spotify:track:2HwCcCi8Up9NECNBRt0yTV,Hideaway,Igulfrid,0.991,0.356,0.0186,0.929,0.0996,-26.729,0.042,84.753,4,0
340,2m7XqU0gRlcPasjZCKvp6f,spotify:track:2m7XqU0gRlcPasjZCKvp6f,Winterwald,Stephan Neudorf,0.995,0.499,0.0682,0.97,0.119,-25.339,0.0769,94.127,4,0
341,7oWtvkBURDJnmTZr40IE6k,spotify:track:7oWtvkBURDJnmTZr40IE6k,Purity,Colias Fieldii,0.995,0.438,0.081,0.857,0.136,-28.598,0.044,130.054,4,0
342,6hzlEcgzqLW9UbLsUZMTVP,spotify:track:6hzlEcgzqLW9UbLsUZMTVP,Holding Hands,Junie Graziano,0.996,0.421,0.00625,0.949,0.111,-28.841,0.0467,65.229,4,0
343,2p5THyuNwpJ9c7ex3TN383,spotify:track:2p5THyuNwpJ9c7ex3TN383,Nowesind,Jacob David,0.903,0.304,0.0902,0.907,0.111,-32.824,0.0489,114.487,4,0
344,6WRGJsfwcYjyOtzgpyizPV,spotify:track:6WRGJsfwcYjyOtzgpyizPV,Delightful,Richard Mahees,0.944,0.433,0.0443,0.928,0.106,-23.394,0.0365,90.192,4,0
345,4W4kAu3nU0Zp8WH7owpjbn,spotify:track:4W4kAu3nU0Zp8WH7owpjbn,Sunrise,Moises Daniel,0.992,0.411,0.00955,0.936,0.0864,-31.943,0.0462,130.965,3,0
346,4RfSDsnP15kSfeu4FxItmX,spotify:track:4RfSDsnP15kSfeu4FxItmX,Distance,Adrián Úlfur,0.986,0.285,0.0186,0.9,0.119,-30.443,0.0415,59.852,3,0
347,0wNiKz7dVespHZP02RCDlE,spotify:track:0wNiKz7dVespHZP02RCDlE,Azure,Ryley Moss,0.991,0.392,0.0632,0.898,0.107,-23.416,0.0347,97.821,4,0
348,08DMzELdDyuk2DDd26C28y,spotify:track:08DMzELdDyuk2DDd26C28y,Borrowed Time,Esme Sanford,0.995,0.499,0.0791,0.945,0.103,-25.976,0.0545,67.661,5,0
349,38IQW5WbKIQwSDsMQPMLSk,spotify:track:38IQW5WbKIQwSDsMQPMLSk,Rainbow,Dylan John Sparkes,0.994,0.411,0.0235,0.896,0.095,-32.494,0.0388,143.044,3,0
350,5UOhiSuywxh22VLsnTieUW,spotify:track:5UOhiSuywxh22VLsnTieUW,Quiet At Dawn,Galen Rise,0.995,0.574,0.00617,0.893,0.104,-27.15,0.047,119.921,3,0
351,0ECmXrwUI8YqLnKKom8jq1,spotify:track:0ECmXrwUI8YqLnKKom8jq1,Ruiseñor,Dwight Rivera,0.964,0.381,0.0535,0.953,0.112,-28.548,0.0457,120.128,4,0
352,6lstaOC6qWvXPcXPgWXfc0,spotify:track:6lstaOC6qWvXPcXPgWXfc0,Ottilia,Yana Couto,0.99,0.466,0.101,0.936,0.116,-17.398,0.036,127.232,3,0
353,1j7pycxTWD6vyiKJout75p,spotify:track:1j7pycxTWD6vyiKJout75p,Ellebori,Alvize Fantacone,0.99,0.405,0.0483,0.955,0.12,-23.493,0.0607,63.782,4,0
354,3zMNVUKjygcVJQZMBff6Hc,spotify:track:3zMNVUKjygcVJQZMBff6Hc,På denna väg skall vi vandra,Tindra Rosenlind,0.996,0.56,0.0111,0.939,0.107,-25.463,0.102,71.765,4,0
355,50Ihxe8oJ8cQ1tDYoehuTc,spotify:track:50Ihxe8oJ8cQ1tDYoehuTc,In Repose,Christopher Dicker,0.983,0.354,0.0368,0.96,0.109,-22.43,0.0451,92.885,4,0
356,600m7rqCDlRD80E9MQtVZB,spotify:track:600m7rqCDlRD80E9MQtVZB,Tender,Simeon Road,0.993,0.276,0.0566,0.955,0.121,-26.845,0.0463,129.309,4,0
357,4xqtdONrwig5n3JGVBz1nv,spotify:track:4xqtdONrwig5n3JGVBz1nv,along the path,Zecil Malka,0.995,0.486,0.046,0.943,0.0892,-27.409,0.0418,66.826,5,0
358,2oD7qIB9vDBnE3uBmEh91C,spotify:track:2oD7qIB9vDBnE3uBmEh91C,Alivio,Franco Robert,0.992,0.189,0.0081,0.945,0.0991,-31.99,0.0474,167.139,3,0
359,6stVkYBRCRAL6Eqomde583,spotify:track:6stVkYBRCRAL6Eqomde583,Remembrance,Miriam Raye,0.992,0.501,0.084,0.935,0.116,-25.838,0.0403,103.888,3,0
360,3JxLzqk5HisNeh5I03Mx22,spotify:track:3JxLzqk5HisNeh5I03Mx22,Casa luminosa,Miguel Pérez,0.992,0.355,0.0368,0.937,0.113,-25.302,0.0393,106.637,4,0
361,2XPxkVgxyj4QVaW78kS5vb,spotify:track:2XPxkVgxyj4QVaW78kS5vb,Estelle,Doris Casella,0.994,0.216,0.0575,0.951,0.109,-25.96,0.0501,206.686,4,0
362,1spPkmhaejcIpnjmP6nxq3,spotify:track:1spPkmhaejcIpnjmP6nxq3,Snowed In,Treman,0.978,0.335,0.0798,0.94,0.107,-24.556,0.0393,82.78,5,0
