,id,uri,Track Name,Artist,Acousticness,Daceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time Signature,Liked
60,6CES1554HcWMIVroJfmmBm,spotify:track:6CES1554HcWMIVroJfmmBm,Way It Goes,Hippo Campus,0.021,0.542,0.906,0.00043,0.377,-4.213,0.0491,120.014,4,1
61,2BGLJ2TvnOQwZ1pT81TIBl,spotify:track:2BGLJ2TvnOQwZ1pT81TIBl,Woah Man,Dayglow,0.00341,0.536,0.678,0.000411,0.218,-7.44,0.0314,80.03,4,1
62,3ET6DgEdRQZQiMmQenluWv,spotify:track:3ET6DgEdRQZQiMmQenluWv,Unwind,Tim Atlas,0.81,0.488,0.562,0.00194,0.125,-8.278,0.208,80.018,4,1
63,0C3sscH57PNeQ8dmY6xTIR,spotify:track:0C3sscH57PNeQ8dmY6xTIR,SUNRISE,MICHELLE,0.16,0.821,0.444,0.0191,0.301,-5.954,0.0796,87.029,4,1
64,4ydabrob4581SkaRuuN9YT,spotify:track:4ydabrob4581SkaRuuN9YT,I Guess This is Life,Jordana,0.261,0.639,0.544,0.00567,0.114,-7.355,0.0318,92.018,4,1
65,5xo8RrjJ9CVNrtRg2S3B1R,spotify:track:5xo8RrjJ9CVNrtRg2S3B1R,Motion Sickness,Phoebe Bridgers,0.774,0.651,0.546,0.0437,0.0842,-9.021,0.0357,107.021,4,1
66,3GBApU0NuzH4hKZq4NOSdA,spotify:track:3GBApU0NuzH4hKZq4NOSdA,What You Know,Two Door Cinema Club,0.00073,0.563,0.739,1.45e-05,0.0822,-4.239,0.0416,139.0,4,1
67,7JM4b9VZVDD83l7f2F1ykf,spotify:track:7JM4b9VZVDD83l7f2F1ykf,For A While,Whitney,0.795,0.607,0.386,0.00617,0.115,-9.635,0.024,85.8,4,1
68,3UwcdHtQg3KvF4bgM02Kre,spotify:track:3UwcdHtQg3KvF4bgM02Kre,I Guess It's Never Enough,Goldpark,0.0125,0.637,0.745,2.76e-05,0.361,-6.176,0.0314,119.987,4,1
69,4xWqRo8GPwMQ02LjiaX4D8,spotify:track:4xWqRo8GPwMQ02LjiaX4D8,Empress,Morningsiders,0.33,0.705,0.547,0.00261,0.0824,-9.717,0.0293,100.0,5,1
70,5v5r7vXB0NndQkQ1CubYFI,spotify:track:5v5r7vXB0NndQkQ1CubYFI,We're Going To Be Friends,Jack Johnson,0.833,0.674,0.314,0.0,0.163,-12.319,0.0363,105.286,4,1
71,08D3zofNf3OwOSCAk50UFs,spotify:track:08D3zofNf3OwOSCAk50UFs,Black Licorice,Peach Pit,0.0309,0.693,0.54,0.00078,0.116,-9.133,0.0333,124.032,4,1
72,01WnKRbZWhZaiF5YfOVJoz,spotify:track:01WnKRbZWhZaiF5YfOVJoz,Purple,Wunderhorse,0.0502,0.27,0.683,0.00206,0.14,-5.523,0.0357,141.437,4,1
73,2OjZhG8BnvrsVWqGnZk4PO,spotify:track:2OjZhG8BnvrsVWqGnZk4PO,Sunday Funday,TOLEDO,0.0352,0.429,0.699,0.291,0.126,-8.436,0.0404,82.971,4,1
74,1M5eu6WDUfs6CqDOqyyzdw,spotify:track:1M5eu6WDUfs6CqDOqyyzdw,Potions,Day Wave,0.495,0.646,0.705,4.77e-05,0.151,-5.816,0.0294,91.513,4,1
75,5CKMxyl7q4p0QdpYTesuCZ,spotify:track:5CKMxyl7q4p0QdpYTesuCZ,Car Crash in G Major,fanclubwallet,0.277,0.709,0.517,0.118,0.484,-8.077,0.0335,105.369,4,1
76,6ud4LPAqtKpfTtospnuYo1,spotify:track:6ud4LPAqtKpfTtospnuYo1,The Summer,Freedom Fry,0.33,0.687,0.625,0.0,0.106,-7.345,0.0325,113.019,4,1
77,4iEOVEULZRvmzYSZY2ViKN,spotify:track:4iEOVEULZRvmzYSZY2ViKN,Left Hand Free,alt-J,0.462,0.697,0.877,0.00943,0.083,-4.465,0.0462,101.99,4,1
78,2fEcMBdl3BUmPclvQKSBfV,spotify:track:2fEcMBdl3BUmPclvQKSBfV,Sheep,Mt. Joy,0.458,0.509,0.448,1.07e-06,0.0824,-8.403,0.0718,158.998,4,1
79,6GUQaa74JUSziJ9TT29Ghg,spotify:track:6GUQaa74JUSziJ9TT29Ghg,Big Wheel,Samia,0.569,0.553,0.512,3.87e-05,0.107,-7.759,0.0465,94.96,4,1
80,3geFzA6VBSNZUTmV3bCry6,spotify:track:3geFzA6VBSNZUTmV3bCry6,Mardy Bum,Arctic Monkeys,0.0288,0.634,0.599,0.0,0.197,-5.447,0.0365,112.215,4,1
81,0aersVHlGGXcHeRvHtuaSt,spotify:track:0aersVHlGGXcHeRvHtuaSt,Dancing On Glass,St. Lucia,0.0189,0.564,0.945,0.0,0.359,-4.705,0.0493,101.003,4,1
82,5xjDVAPLOovtYtzswnCxRS,spotify:track:5xjDVAPLOovtYtzswnCxRS,Take You Back,Purr,0.308,0.486,0.636,1.33e-05,0.119,-6.031,0.0281,80.405,4,1
83,6PuoZT4kgw5DrUEdnQ6e01,spotify:track:6PuoZT4kgw5DrUEdnQ6e01,This Must Be The Place,Sure Sure,0.349,0.886,0.371,0.00138,0.0985,-10.542,0.0465,115.026,4,1
84,14e46mURUUwB3i2vTe1gFz,spotify:track:14e46mURUUwB3i2vTe1gFz,Astrovan,Mt. Joy,0.866,0.548,0.444,0.0,0.134,-9.4,0.0384,169.917,4,1
85,4V0S1bHxAL8FDsVF21BqLI,spotify:track:4V0S1bHxAL8FDsVF21BqLI,Maybe,Buck Meek,0.82,0.484,0.511,0.695,0.209,-9.819,0.0717,176.521,4,1
86,6hokBBgD7caSiEXJxPmryn,spotify:track:6hokBBgD7caSiEXJxPmryn,Wheat,Wilderado,0.00116,0.493,0.831,0.0045,0.179,-4.298,0.0372,179.967,4,1
87,0ebuEuZX9liYMw1ccEsCol,spotify:track:0ebuEuZX9liYMw1ccEsCol,Amalfi,Wild Pink,0.228,0.536,0.686,0.858,0.534,-11.286,0.0274,106.02,4,1
88,36GQWaICkYgxYD8I9gJOYJ,spotify:track:36GQWaICkYgxYD8I9gJOYJ,Never Going Under,Circa Waves,0.00305,0.472,0.943,0.0,0.505,-2.81,0.108,149.953,4,1
89,7KMP2x6rXAIbYYSu8Al7gv,spotify:track:7KMP2x6rXAIbYYSu8Al7gv,Ends of the Earth,Lord Huron,0.267,0.553,0.578,0.0377,0.267,-8.679,0.0299,120.993,4,1
90,4C7GZbwKnoucpGdkBQ9iGt,spotify:track:4C7GZbwKnoucpGdkBQ9iGt,Katie Queen of Tennessee,The Apache Relay,0.1,0.56,0.915,0.000254,0.221,-5.386,0.0308,127.023,4,1
91,6GZEEoTST2iZcU52LfVDHZ,spotify:track:6GZEEoTST2iZcU52LfVDHZ,Running for Cover,Ivan & Alyosha,0.00691,0.295,0.717,1.05e-06,0.101,-7.537,0.0386,116.95,4,1
92,0JsRZWdSquAQtgyJO8mhLA,spotify:track:0JsRZWdSquAQtgyJO8mhLA,Peaches,In The Valley Below,0.000717,0.508,0.517,0.0165,0.117,-8.054,0.0278,103.935,4,1
93,1VnJtjIMAJl8ZPGrHj2FGS,spotify:track:1VnJtjIMAJl8ZPGrHj2FGS,One More Reason,The Reytons,0.000279,0.519,0.869,0.0,0.099,-4.321,0.0445,82.486,4,1
94,2MQhTbX792AT6YyzwLz9dt,spotify:track:2MQhTbX792AT6YyzwLz9dt,Sedona,Houndmouth,0.0404,0.394,0.654,6.96e-05,0.112,-8.243,0.0346,135.188,4,1
95,4vsoWZcvtvSsE0OiVvDDvX,spotify:track:4vsoWZcvtvSsE0OiVvDDvX,Harness Your Hopes - B-side,Pavement,0.289,0.604,0.573,0.0406,0.133,-7.804,0.037,107.862,4,1
96,1sygfNN1Uw3kWlmTqC3PJY,spotify:track:1sygfNN1Uw3kWlmTqC3PJY,Are You OK?,Wasuremono,0.338,0.478,0.684,0.34,0.35,-3.316,0.0402,162.562,4,1
97,13lZDbwonGhOflQLQIfdtZ,spotify:track:13lZDbwonGhOflQLQIfdtZ,We're Going to Be Friends,The White Stripes,0.661,0.534,0.441,0.0,0.0934,-5.752,0.0303,97.009,4,1
98,0pBLfQ5JBjh12H6DGZjMwM,spotify:track:0pBLfQ5JBjh12H6DGZjMwM,Elevate,St. Lucia,0.00767,0.541,0.982,0.000809,0.291,-4.908,0.106,104.035,4,1
99,3AydAydLzyyZutA0375XIz,spotify:track:3AydAydLzyyZutA0375XIz,A-Punk,Vampire Weekend,0.0103,0.551,0.819,0.0437,0.153,-4.489,0.0525,174.917,4,1
100,04uR2cdkgiaLIzebPcs25m,spotify:track:04uR2cdkgiaLIzebPcs25m,Two Weeks,Grizzly Bear,0.3,0.526,0.723,0.00698,0.058,-5.59,0.0294,159.685,4,1
101,2RUhtNBh43RtSg0WBPPq3m,spotify:track:2RUhtNBh43RtSg0WBPPq3m,Naive,The Kooks,0.0688,0.547,0.816,0.0,0.127,-6.165,0.0624,102.765,4,1
102,6tZetCGfhxPh5ZIKCGmaKq,spotify:track:6tZetCGfhxPh5ZIKCGmaKq,The Bottom of It,Fruit Bats,0.134,0.631,0.625,0.0196,0.117,-10.73,0.0374,155.987,4,1
103,7LYVDh003mW2jl5D1UBPhR,spotify:track:7LYVDh003mW2jl5D1UBPhR,Valleys (My Love),Whitney,0.642,0.568,0.607,0.593,0.103,-7.174,0.0349,88.671,4,1
