time heart-rate
238.346 176.211454
238.691 173.913043
239.378333 174.587778
239.034667 174.587778
239.722 174.587778
240.062 176.470588
240.405 174.927114
240.748 174.927114
242.462 175.02917
242.808 173.410405
243.145 178.041543
243.487 175.438596
243.829 175.438596
244.166 178.041543
244.509 174.927114
244.852 174.927114
245.191 176.99115
245.535 174.418605
245.879 174.418605
246.223 174.418605
246.564 175.953079
246.907 174.927114
247.249 175.438596
247.59 175.953079
247.934 174.418605
248.278 174.418605
248.626 172.413793
248.961 179.104478
249.303 175.438596
249.6425 176.730486
249.982 176.730486
250.325 174.927114
250.671 173.410405
251.011 176.470588
251.357 173.410405
251.695 177.514793
252.039 174.418605
252.38 175.953079
252.722 175.438596
253.064 175.438596
253.750667 174.757281
253.407333 174.757281
254.094 174.757281
254.439 173.913043
254.775 178.571429
255.114 176.99115
255.454 176.470588
255.793 176.99115
256.14 172.910663
256.484 174.418605
256.8275 174.672489
257.171 174.672489
257.511 176.470588
257.851 176.470588
258.195 174.418605
258.54 173.913043
259.224 175.438596
258.882 175.438596
259.566 175.438596
259.91 174.418605
260.247 178.041543
260.592 173.913043
260.939 172.910663
261.28 175.953079
261.624 174.418605
261.966 175.438596
262.3095 174.672489
262.653 174.672489
262.997 174.418605
263.342 173.913043
263.686 174.418605
264.0265 176.211454
264.367 176.211454
264.709 175.438596
265.0485 176.730486
265.388 176.730486
265.734 173.410405
266.074 176.470588
266.4195 173.66136
266.765 173.66136
267.105 176.470588
267.447 175.438596
267.791 174.418605
268.137 173.410405
268.485 172.413793
268.821 178.571429
269.162 175.953079
269.504 175.438596
269.843 176.99115
270.187 174.418605
270.5305 174.672489
270.874 174.672489
271.218 174.418605
271.557 176.99115
271.901 174.418605
272.245 174.418605
272.589 174.418605
272.934 173.913043
273.277 174.927114
273.618 175.953079
273.959 175.953079
274.301 175.438596
274.639 177.514793
274.98 175.953079
275.328 172.413793
275.6715 174.672489
276.015 174.672489
276.358 174.927114
278.416 174.927
278.759 174.927114
279.1 175.953079
279.437 178.041543
279.7805 174.672489
280.124 174.672489
280.467 174.927114
280.81 174.927114
281.151 175.953079
281.495 174.418605
281.839 174.418605
282.183 174.418605
282.529 173.410405
282.873 174.418605
283.213 176.470588
283.553 176.470588
283.893 176.470588
284.234 175.953079
284.578 174.418605
284.922 174.418605
285.268 173.410405
285.609 175.953079
285.9515 175.182482
286.294 175.182482
286.638 174.418605
286.982 174.418605
287.326 174.418605
287.6665 176.211454
288.007 176.211454
288.35 174.927114
288.694 174.418605
289.031 178.041543
289.374 174.927114
289.724 171.428571
290.064 176.470588
290.407 174.927114
290.751 174.418605
291.095 174.418605
291.445 171.428571
291.781 178.571429
292.125 174.418605
292.467 175.438596
292.808 175.953079
293.149 175.953079
293.495 173.410405
293.836 175.953079
294.182 173.410405
294.521 176.99115
294.866 173.913043
295.2085 175.182482
295.551 175.182482
295.896 173.913043
296.239 174.927114
296.582 174.927114
296.922 176.470588
297.262 176.470588
297.6035 175.695461
297.945 175.695461
298.2885 174.672489
298.632 174.672489
298.975 174.927114
299.317 175.438596
299.66 174.927114
300.001 175.953079
300.347 173.410405
300.691 174.418605
301.031 176.470588
301.371 176.470588
301.712 175.953079
302.058 173.410405
302.4 175.438596
302.744 174.418605
303.09 173.410405
303.774667 175.26777
303.432333 175.26777
304.117 175.26777
304.462 173.913043
304.81 172.413793
305.146 178.571429
305.488 175.438596
305.827 176.99115
306.166 176.99115
306.508 175.438596
306.854 173.410405
307.195 175.953079
307.539 174.418605
307.882 174.927114
308.225 174.927114
308.569 174.418605
308.913 174.418605
309.2565 174.672489
309.6 174.672489
309.941 175.953079
310.282 175.953079
310.619 178.041543
310.963 174.418605
311.3065 174.672489
311.65 174.672489
311.9945 174.165457
312.339 174.165457
313.030333 173.577627
312.684667 173.577627
313.376 173.577627
313.721 173.913043
314.063 175.438596
314.406 174.927114
314.748 175.438596
315.091 174.927114
315.438 172.910663
315.78 175.438596
316.1265 173.160173
316.473 173.160173
316.8155 175.182482
317.158 175.182482
317.505 172.910663
317.852 172.910663
318.198 173.410405
318.544 173.410405
319.227333 175.609755
318.885667 175.609755
319.569 175.609755
319.913 174.418605
320.257 174.418605
320.599 175.438596
320.945 173.410405
321.291 173.410405
321.641 171.428571
321.9865 173.66136
322.332 173.66136
322.678 173.410405
323.024 173.410405
